iteration,loss
1,0.058249045
2,0.042377613
3,0.037674744
4,0.0352569
5,0.036958195
6,0.03579675
7,0.03555122
8,0.033505734
9,0.03514308
10,0.03036016
11,0.029807847
12,0.037248597
13,0.036897358
14,0.03007347
15,0.03310716
16,0.03495987
17,0.026355777
18,0.024015376
19,0.024306824
20,0.023440856
21,0.02504014
22,0.0243308
23,0.019491151
24,0.021692367
25,0.022272862
26,0.018969327
27,0.019924067
28,0.015847707
29,0.014556717
